product_name,brands,nutriscore_grade,nova_group,allergens,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,category,subcategory
Ain Atlas Cl Natural Mineral Water,The Mineral Waters Of Oulms,A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.12,0.048,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Whole Grain Rye Bread,Schneider Brot,A,3,gluten,201.0,1.0,0.1,38.9,2.2,7.7,5.2,1.15,0.46,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Crispy Minis Choco,Weetabix,B,4,"gluten, soybeans",385.0,5.0,2.25,70.0,17.0,10.0,10.0,0.16,0.064,True,False,False,True,False,False,Plant Based Foods And Beverages,Breakfasts
Nocciolata Bianca,Rigoni Di Asiago,E,4,"milk, nuts, soybeans",545.0,33.0,4.6,46.0,43.0,2.8,14.5,0.19,0.076,False,True,True,True,False,False,Breakfasts,Sweet Spreads
Ghani,Jaouda,B,0,milk,80.0,1.6,0.6,13.3,12.0,0.0,3.2,0.2,0.08,False,False,False,False,False,False,Dairies,Fermented Milk Products
White Sourdough,Specially Selected,B,3,gluten,231.0,0.7,0.1,44.6,1.9,4.5,9.4,0.88,0.352,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Assyrian Panache,Danone,E,4,milk,65.0,1.07,0.89,13.1,8.0,0.2,0.7,0.0,0.0,False,True,False,False,False,False,Beverages And Beverages Preparations,Beverages
Frut,Marrakech,E,4,gluten,32.0,0.0,0.0,7.9,6.9,0.2,0.0,0.00025,0.0001,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Leben,Jaouda,UNKNOWN,0,milk,54.6,2.4,0.0432,5.1,4.2,0.2,3.1,0.03,0.012,False,True,False,False,False,False,Beverages And Beverages Preparations,Dairies
Sabra Houmous Extra,Sabra,C,3,"nuts, sesame-seeds",367.0,33.0,3.2,9.0,0.4,4.8,7.0,0.9825,0.393,False,False,False,False,False,False,Plant Based Foods And Beverages,Condiments
Organic Beef Stock Cubes Pack,Call,C,3,celery,318.0,22.7,13.6,27.3,4.55,0.7,4.55,35.8,14.3,False,False,False,False,False,False,Condiments,Dried Products
Unknown Product,Unknown,A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.00358,0.00143,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Perrier,"Nestl, Nestl Waters, Perrier",A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.03,0.012,False,False,False,False,False,False,Beverages And Beverages Preparations,Carbonated Drinks
Original Shredded Wheat,"Nestl, Nestl Uk Ltd",A,1,gluten,360.0,2.2,0.5,66.7,0.7,12.2,12.2,0.05,0.02,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Organic Baked Beans,Tesco,A,3,unknown,87.0,0.5,0.1,14.0,4.4,3.7,4.6,0.4925,0.197,False,False,False,False,False,False,Plant Based Foods And Beverages,Prepared Vegetables
Lait,Lait,D,4,milk,287.0,24.0,13.0,1.0,5.0,0.0,10.0,1.0,0.4,False,True,False,False,False,False,Dairies,Fermented Milk Products
Trigo Espelta,Hacendado,C,4,"gluten, milk, soybeans",422.0,16.0,1.6,0.0,0.0,1.3,0.0,0.0,0.0,True,True,False,True,False,False,Snacks,Galletas
Protein Packed Lentil Cakes,Callo,A,1,gluten,384.0,1.52,0.0,68.2,1.52,7.58,27.3,0.0,0.0,False,False,False,False,False,False,Plant Based Foods And Beverages,Legumes And Their Products
Pork Sausages,Heck,D,3,"gluten, sulphites, sulphur-dioxide-and-sulphites",246.0,18.0,6.22,0.0,0.0,0.0,21.6,1.44,0.577,False,False,False,False,False,False,Meats And Their Products,Prepared Meats
Eau,Ain Soltane,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,Beverages,Spring Waters
Cruesli Chocolat Noir,Quaker,C,4,"gluten, nuts, soybeans",455.0,19.0,4.9,57.0,16.0,10.0,8.1,0.48,0.192,True,False,False,True,False,False,Plant Based Foods And Beverages,Breakfasts
Granola Lu,Lu,E,4,"eggs, gluten, milk, soybeans",503.0,26.0,14.0,60.0,36.0,3.3,5.7,1.0,0.4,True,True,False,True,False,False,Snacks,Sweet Snacks
Country Crisp Baies,Jordans,C,4,gluten,432.0,13.0,1.8,67.0,20.0,6.0,9.1,0.03,0.012,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Cuites Au Four Nature,Lays,C,4,unknown,442.0,13.0,1.4,73.0,5.3,6.2,5.9,0.84,0.336,False,False,False,False,False,False,Plant Based Foods And Beverages,Snacks
Dark Chocolate,End Square,E,4,"milk, soybeans",531.0,31.5,18.9,52.4,47.7,7.5,5.7,0.01,0.004,False,False,False,True,False,False,Snacks,Cocoa And Its Products
Irish Organic Jumbo Oats,Flahavans,A,1,gluten,370.0,5.75,1.0,65.0,1.0,8.25,11.2,0.0125,0.005,False,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Wholegrain Wheat Bixies,Crownfield,A,3,gluten,362.0,2.25,0.5,67.8,3.0,9.5,12.7,0.225,0.09,True,False,False,False,False,False,Plant Based Foods And Beverages,Snacks
Nairns Cheese Oatcakes,Nairns,E,3,"gluten, milk",473.0,26.6,12.0,44.7,0.6,7.2,13.6,2.8,1.12,True,True,False,False,False,False,Snacks,Sweet Snacks
Lait Sans Lactose,Jaouda,B,1,milk,58.0,3.0,1.3,4.7,0.0,0.0,3.0,0.0,0.0,False,True,False,False,False,False,Dairies,Homogenized Milks
Unknown Product,Unknown,UNKNOWN,0,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.03,0.012,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Pet L Fuze Tea Peche,Fuze Tea,D,4,unknown,19.0,0.0,0.0,4.3,4.3,0.0,0.0,0.025,0.01,False,False,False,False,False,False,Beverages,Non Alcoholic Beverages
Sour Cream Onion Chips,Pringles,D,4,"gluten, milk",517.0,29.0,2.9,56.0,2.1,3.5,6.3,1.2,0.48,True,True,False,False,False,False,Plant Based Foods And Beverages,Snacks
Kimchi,Vadasz,C,3,unknown,15.0,0.4,0.1,1.0,0.0,1.8,1.1,2.065,0.826,False,False,False,False,False,False,Plant Based Foods And Beverages,Fruits And Vegetables Based Foods
Poms,Poms,E,4,unknown,270.0,0.0,0.0,69.0,63.0,0.2,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Classic,Vip,UNKNOWN,1,unknown,1.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Belvita Brut Whole Grains,Lu,D,4,"avoine, eggs, gluten, milk, sarrasin, soybeans",438.0,14.0,1.4,66.0,22.0,6.1,7.8,1.4,0.56,True,True,False,True,False,False,Snacks,Sweet Snacks
Kinder Delice,"Lactel, Ferrero",E,4,"eggs, gluten, milk, soybeans",451.0,22.8,13.6,58.2,43.1,4.1,5.38,0.32,0.128,True,True,False,True,True,False,Snacks,Sweet Snacks
"Maestro Cereale Avec Du Levain, Millet Et Quinoa",Schr,B,4,"lupin, sesame-seeds, soybeans",248.0,6.4,0.8,38.0,4.0,10.0,4.4,0.94,0.376,False,False,False,True,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Fully Roasted Smooth Peanut Butter,Meridian,A,1,"nuts, peanuts",609.0,47.0,6.3,16.0,5.3,8.1,26.0,0.02,0.008,False,False,True,False,False,False,Plant Based Foods And Beverages,Legumes And Their Products
Confiture De Fraises,El Baraka,D,4,unknown,245.5,0.16,0.0,61.3,60.0,4.8,0.47,0.0,0.0,False,False,False,False,False,False,Plant Based Foods And Beverages,Fruits And Vegetables Based Foods
Pet L Coca,Coca Cola,E,4,unknown,42.0,0.0,0.0,10.6,10.6,0.2,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Carbonated Drinks
Beurre Doux Gastronomique,President,E,2,milk,745.0,82.0,57.0,1.0,1.0,0.0,0.7,0.03,0.012,False,True,False,False,False,False,Dairies,Spreads
Kinder Chocolate,Kinder,E,4,"milk, palm, soybeans",477.5,35.0,22.6,53.5,53.5,4.1,8.7,0.3075,0.123,False,True,False,True,False,False,Snacks,Cocoa And Its Products
Sauce Tomate Bol Bol,Tomato Frito,C,4,unknown,73.0,3.3,0.4,8.7,6.1,1.4,1.3,0.83,0.332,False,False,False,False,False,False,Condiments,Meal Sauces
El Baraka,Vmm,D,4,unknown,248.0,0.17,0.0,14.0,61.24,0.0,0.0,0.06,0.024,False,False,False,False,False,False,Plant Based Foods And Beverages,Fruits And Vegetables Based Foods
Jaouda,Jaouda,A,0,milk,109.0,3.0,1.0,16.9,1.0,0.0,3.6,0.0,0.0,False,False,False,False,False,False,Dairies,Fermented Milk Products
Clorets,Clorets,NOT-APPLICABLE,0,unknown,477.5,22.0,8.0,59.0,26.0,4.1,7.1,0.42,0.168,False,False,False,False,False,False,Snacks,Confectioneries
Biscotti,Excelo,C,4,gluten,193.0,6.0,3.0,31.0,12.0,1.0,3.0,0.25,0.1,True,False,False,False,False,False,Snacks,Biscuits And Cakes
Contrex Natural Mineral Water,Contrex,A,0,unknown,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,4e-05,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Taste The Grapes,Gerbl,C,4,"gluten, milk, soybeans",434.0,14.0,1.3,64.0,21.0,6.4,9.4,0.0,0.0,True,True,False,True,False,False,Snacks,Biscuits And Cakes
Integrale Penne Rigate,"Barilla, Famila Barilla Pasta Integrale Vollkornpasta",A,1,gluten,347.0,2.5,0.5,64.0,3.5,8.0,13.0,0.01,0.004,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Cioccolato Extra Fondente Cacao,Lidl J D Gross,D,3,milk,576.0,51.2,31.2,12.8,2.4,10.4,12.8,0.03,0.012,False,False,False,False,False,False,Snacks,Cocoa And Its Products
Letter Hand,Kiri,D,4,milk,303.0,29.0,19.5,2.0,2.0,0.0,9.0,1.3,0.52,False,True,False,False,False,False,Dairies,Fermented Milk Products
Salsa De Soja,Kikkoman,E,3,"gluten, soybeans",87.0,0.0,0.0,6.7,0.6,0.0,10.0,17.1,6.84,True,False,False,True,False,False,Condiments,Soy Sauces
Granola The Original Large Chocolate Chips,"Granola,Lu,Mondelez",E,4,"gluten, milk, soybeans",503.0,26.0,14.0,60.0,36.0,3.3,5.7,1.0,0.4,True,True,False,True,False,False,Snacks,Biscuits And Cakes
Avoine Boisson Biologique,Bjorg,C,3,gluten,45.0,1.5,0.3,7.0,4.0,0.5,0.5,0.09,0.036,True,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Skyr,Yoplait,A,1,milk,57.0,0.5,0.1,3.6,3.6,0.5,9.5,0.15,0.06,False,True,False,False,False,False,Dairies,Fermented Milk Products
Peanut,Mms,E,4,"milk, nuts, peanuts, soybeans",524.0,26.0,11.0,59.0,53.0,4.1,9.8,0.11,0.044,False,True,True,True,False,False,Snacks,Cocoa And Its Products
Pringles Sour Cream Onion,Pringles,D,4,"gluten, laktose, milch, milcheiweiss, milk, weizenstarke",515.0,30.0,2.9,54.0,2.0,4.0,6.3,1.1,0.44,True,True,False,False,False,False,Plant Based Foods And Beverages,Snacks
Linea,Jaouda,UNKNOWN,0,milk,32.0,0.0,5.1,5.0,3.6,0.0,3.1,0.14,0.056,False,False,False,False,False,False,Dairies,Homogenized Milks
Lait,Lait,B,1,milk,57.0,3.0,0.0,4.8,0.0,0.0,3.0,0.0,0.0,False,True,False,False,False,False,Dairies,Milks
Mackerel Crumbs With Tomato Sauce And Spices,Joly,UNKNOWN,3,fish,180.1,6.4,1.5,0.6,0.4,0.0,30.1,1.25,0.5,False,False,False,False,False,True,Seafood,Canned Foods
Kiri Square,Kiri,D,4,milk,230.0,20.0,13.0,3.5,2.0,0.0,9.0,1.6,0.64,False,True,False,False,False,False,Dairies,Fermented Milk Products
Quot,Quot,UNKNOWN,0,milk,133.1,8.05,5.1,4.4,3.6,0.0,5.4,0.14,0.056,False,False,False,False,False,False,Dairies,Fermented Milk Products
Soft Chocolate Hazelnut Flavor,Lu,C,4,"avoine, gluten, milk, soybeans",398.0,14.2,1.8,60.0,22.0,6.9,5.2,0.255,0.102,True,True,False,True,False,False,Cereales Completes,Unknown
Huile Dolive Vierge Extra Bio Classico,Carapelli,B,2,unknown,821.0,91.0,14.0,0.0,0.0,4.8,0.0,0.0,0.0,False,False,False,False,False,False,Plant Based Foods And Beverages,Fats
Milk Chocolate With Honey And Almond Nougat,Toblerone,E,4,"eggs, milk, nuts, soybeans",528.0,28.0,17.0,61.0,60.0,2.4,5.6,0.12,0.048,False,True,True,True,True,False,Snacks,Cocoa And Its Products
Crunchy Peanut Butter,Pip Nut,A,3,"nuts, peanuts",595.0,49.0,6.1,10.0,5.4,7.5,27.0,0.52,0.208,False,False,True,False,False,False,Plant Based Foods And Beverages,Legumes And Their Products
Oat So Simple Original,"Quaker, Quaker Oats",A,0,gluten,370.0,7.78,1.11,59.3,1.11,8.89,11.1,0.0,0.0,False,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
White Sourdough,Co Op,B,3,gluten,242.0,2.7,0.3,44.0,2.7,5.2,8.0,0.79,0.316,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Organic Milk Chocolate,Green Blacks,E,4,"milk, nuts, soybeans",561.0,36.0,22.0,48.0,46.0,2.8,9.8,0.22,0.088,False,True,False,True,False,False,Snacks,Cocoa And Its Products
Kefir,Reina,B,0,milk,48.0,1.5,1.0,4.7,4.7,0.0,3.4,0.13,0.052,False,True,False,False,False,False,Dairies,Milks
Whole Wheat Bread Toasts,Brioche Pasquier,C,4,gluten,382.0,5.0,0.8,67.0,4.2,8.7,13.0,1.5,0.6,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Miel De Fleurs,Maribel,D,2,unknown,302.0,0.5,0.1,75.1,75.1,0.5,0.5,0.01,0.004,False,False,False,False,False,False,Breakfasts,Sweet Spreads
Kiri Cream Servings,Kiri,D,4,milk,303.0,29.0,19.5,2.0,2.0,0.0,9.0,1.3,0.52,False,True,False,False,False,False,Dairies,Fermented Milk Products
Total Fat Greek Yogurt,Fage,A,1,milk,54.0,0.0,0.0,3.0,3.0,0.0,10.3,0.1,0.04,False,True,False,False,False,False,Dairies,Fermented Milk Products
Nestle Chocapic Cereals G,"Bghin Say,The Parakeet,Tereos",B,4,"gluten, milk",384.0,4.4,1.1,73.8,19.9,7.7,8.5,0.2,0.08,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Noir Extra,Poulain,E,4,"gluten, milk, nuts, soybeans",508.0,28.0,18.0,55.0,52.0,7.2,4.9,0.01,0.004,False,True,False,True,False,False,Dairies,Fermented Milk Products
Hafer Flocken Zart,Crownfield,A,1,gluten,371.0,6.7,1.1,59.5,0.8,9.7,13.2,0.0,0.0,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Greek Style Flatbreads,Deli Kitchen,A,4,"gluten, milk",255.0,4.2,1.0,39.7,2.9,6.7,11.3,0.89,0.356,True,True,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Jnane Nature Sans Sucre,Chergui,UNKNOWN,3,milk,75.4,3.0,5.1,4.7,3.6,0.0,3.8,0.14,0.056,False,True,False,False,False,False,Dairies,Fermented Milk Products
Kefir,Reina,B,0,milk,75.0,4.199999809,2.799999952,5.5,5.5,0.0,3.900000095,0.147637801,0.05905512,False,False,False,False,False,False,Dairies,Fermented Milk Products
Pain Ams Complet,Harrys,B,4,"eggs, gluten, milk, soybeans",253.0,4.5,0.4,41.7,4.9,7.2,7.7,1.2,0.48,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Heudebert Fibre,Heudebert,C,4,"gluten, milk, soybeans",384.0,5.7,2.2,63.0,5.4,12.0,15.0,1.1,0.44,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Le Cookie Chocolat Noisette,Bjorg,D,4,"eggs, gluten, milk, nuts, soybeans",496.0,26.0,5.3,55.0,29.0,6.3,7.4,0.36,0.144,True,True,True,True,True,False,Snacks,Biscuits And Cakes
Corn Flakes,"Crownfield, Lidl",D,3,"gluten, milk, nuts, peanuts",386.0,1.2,0.6,84.9,3.0,1.9,8.0,1.95,0.78,True,True,True,False,False,False,Plant Based Foods And Beverages,Breakfasts
Tonik,Bimo,E,4,"gluten, milk, soybeans",503.0,23.0,11.0,70.0,39.0,1.0,4.8,0.1,0.04,True,True,False,True,False,False,Snacks,Cocoa And Its Products
All Bran Original,"Kellogg,Kelloggs",C,3,gluten,350.0,3.5,0.7,48.0,18.0,27.0,14.0,0.95,0.38,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Easy Bake Yeast,Allinsons,NOT-APPLICABLE,4,unknown,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,Food Additives,Yeast
Organic Classic Canadian Maple Syrup,Buckwud,D,2,unknown,271.0,0.5,0.1,65.0,61.0,0.5,0.5,0.02,0.008,False,False,False,False,False,False,Sweeteners,Simple Syrups
Frommage Fondu,Rewe Beste Wahl,D,3,milk,298.0,26.0,16.5,9.0,4.0,0.0,7.0,1.2,0.48,False,True,False,False,False,False,Dairies,Fermented Milk Products
Miel De Fleurs Liquide Doseur G,Lune De Miel,D,2,unknown,320.0,0.0,5.7,80.0,80.0,2.9,0.0,0.02,0.008,False,False,False,False,False,False,Breakfasts,Sweet Spreads
Krisprolls Complets,On The Go,D,3,gluten,397.0,6.2,2.1,70.0,7.0,7.7,12.0,1.6,0.64,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Plant Based Toast Baking,Primrose,C,4,unknown,566.0,63.0,17.0,0.0,0.0,0.0,0.0,0.3,0.12,False,False,False,False,False,False,Plant Based Foods And Beverages,Fats
Cereal Toasts G,The Baker,B,4,"eggs, gluten, milk, soybeans",298.0,10.0,1.0,39.0,2.9,5.8,10.0,1.1,0.44,True,False,False,False,False,False,Plant Based Foods And Beverages,Snacks
Oat Milk,Oatly,D,4,"gluten, soybeans",60.0,2.8,0.3,7.9,3.4,0.8,1.1,0.0975,0.039,True,False,False,True,False,False,Beverages And Beverages Preparations,Beverages
Tomato Ketchup,Heinz,C,4,celery,64.0,0.1,0.0,12.0,11.0,0.7,1.4,0.9,0.36,False,False,False,False,False,False,Condiments,Tomato Sauces
Pain De Mie Complet,Ekmek,C,4,"gluten, milk",231.0,2.1,0.12,42.4,3.8,5.0,8.0,1.05,0.42,True,True,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Spofy,Henrys,D,4,"eggs, gluten, milk, soybeans",426.0,18.8,2.8e-06,59.0,32.8,1.4,4.8,0.0,0.0,True,True,False,True,True,False,Snacks,Biscuits And Cakes
Jutos,Jaouda,E,3,unknown,40.0,0.0,0.0,10.0,8.5,0.2,0.0,0.02,0.008,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Extra Virgin Olive Oil,Primadonna,B,2,unknown,830.0,92.0,14.0,0.0,0.0,4.8,0.0,0.0,0.0,False,False,False,False,False,False,Plant Based Foods And Beverages,Fats
Galettes St Michel Au Beurre X G,St Michel,E,4,"eggs, gluten, milk",470.0,16.0,10.0,73.0,26.0,2.2,7.4,0.87,0.348,True,True,False,False,True,False,Snacks,Biscuits And Cakes
Krisprolls,Krisprolls,D,4,gluten,432.0,11.0,4.0,70.0,10.0,3.0,9.0,0.67,0.268,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Petit Brun Extra,"Brun,Mondelez",E,4,"eggs, gluten, milk",441.0,12.0,5.9,74.0,25.0,2.9,7.2,0.8,0.32,True,False,False,False,True,False,Snacks,Biscuits And Cakes
Avena Crunchy,Hacendado,A,3,gluten,390.0,5.8,1.0,66.0,4.6,11.0,13.0,0.2,0.08,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
"Bn Casse Croute Biscuits, G",Bn,D,4,gluten,381.0,5.0,1.88,76.2,25.6,2.5,7.5,0.00156,0.000625,True,False,False,False,False,False,Snacks,Biscuits And Cakes
Baked Beans In Tomato Sauce,Tesco,B,4,unknown,85.0,0.4,0.1,13.9,3.9,4.6,4.4,1.05,0.42,False,False,False,False,False,False,Plant Based Foods And Beverages,Meals
Bran Flakes Malty Crunch,Tesco,A,3,gluten,352.0,2.5,0.5,63.9,10.2,15.7,10.6,0.59,0.236,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Cerelac,Nestle,NOT-APPLICABLE,0,unknown,350.0,10.0,0.0,71.2,0.0,2.5,15.0,0.51,0.204,False,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Chocup,Excelo,E,4,"gluten, milk, soybeans",522.0,26.0,12.9,67.0,33.0,4.1,5.7,0.28,0.112,True,True,False,True,False,False,Snacks,Biscuits And Cakes
Ghayt,Ghayt,A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.025,0.01,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Hepar,"Hepar, Nestl",A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00355,0.00142,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Amora Ketchup Flacon Souple G,Amora,D,4,unknown,99.0,0.5,0.1,22.0,21.0,0.5,1.2,2.0,0.8,False,False,False,False,False,False,Condiments,Tomato Sauces
Penne Rigate N,"Barilla,Barilla Klassische Pasta",A,1,gluten,359.0,2.0,0.5,71.0,3.5,3.0,13.0,0.01,0.004,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Tortillas De Trigo Integrales,Hacendado,C,4,"gluten, soybeans",269.4444444,5.8,1.9,41.0,2.1,8.5,9.3,1.5,0.6,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Bonbons,Raffaello Confetteria,C,4,"gluten, milk, nuts, soybeans",627.0,4.8,3.0,3.9,3.4,4.1,0.7,0.02675,0.0107,True,True,True,True,False,False,Snacks,Cocoa And Its Products
Fruity Black Currants,Rocks,C,4,apple,18.0,0.0,0.0,4.3,4.3,4.8,0.0,0.0,0.0,False,False,False,False,False,False,Plant Based Foods And Beverages,Plant Based Beverages
Salim Lben G,Salim,B,4,milk,39.5,0.7,0.5,5.9,0.0,0.0,2.3,0.2375,0.095,False,True,False,False,False,False,Dairies,Milks
Taste The Candied Peels,Gerbl,C,4,"eggs, gluten, lupin, milk, nuts, sesame-seeds, soybeans",445.0,15.0,1.4,65.0,20.0,6.1,9.5,0.03,0.012,True,True,True,True,True,False,Snacks,Biscuits And Cakes
Bulgur Spelled Pancakes,Organic Cereal,B,4,"celery, gluten",186.0,5.2,0.6,25.0,3.8,6.2,5.0,0.95,0.38,True,False,False,False,False,False,Meat Alternatives,Cereals And Vegetables Patties
Salsa Di Soia,Kikkoman,E,3,"gluten, soybeans",107.0,0.0,0.0,6.9,3.9,0.7,9.7,9.1,3.64,True,False,False,True,False,False,Condiments,Soy Sauces
Simply Delicious Muesli,Dorset Cereals,B,1,"gluten, nuts",368.0,7.3,1.1,70.5,14.7,9.0,9.6,0.03,0.012,True,False,True,False,False,False,Plant Based Foods And Beverages,Breakfasts
Lurpak Spreadable,Lurpak,E,2,milk,679.0,75.0,35.0,0.6,0.6,0.0,0.5,0.9,0.36,False,True,False,False,False,False,Dairies,Spreads
Weisse Bohnen An Tomatensauce White Beans In Tomato Sauce,Freshona,A,4,nuts,94.0,0.71,0.19,13.6,4.9,7.12,4.81,0.51,0.204,False,False,False,False,False,False,Plant Based Foods And Beverages,Legumes And Their Products
Ladid,Ladid,E,0,milk,270.0,16.5,11.5,7.6,7.6,0.0,7.4,3.25,1.3,False,False,False,False,False,False,Dairies,Fermented Milk Products
La Vache Qui Rit,La,E,0,milk,380.0,31.3,20.5,3.8,3.01,0.0,13.3,3.31,1.33,False,False,False,False,False,False,Dairies,Fermented Milk Products
Coconut Flavored Shortbread,Gerbl,C,4,gluten,427.2,15.0,1.5,72.0,0.0,4.1,6.2,0.2,0.08,True,False,False,False,False,False,Snacks,Biscuits And Cakes
Pago Ace Orange Carotte Citron,Pago,E,4,unknown,40.0,0.5,0.1,9.2,9.2,0.2,0.5,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Sandwich Bread Large Slices Toastiligne Cereals Seeds G,The Baker,B,4,"eggs, gluten, milk, soybeans",250.0,2.9,0.4,42.0,3.8,5.9,11.0,1.0,0.4,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Milka Tablette Noisette,"Milka, Mondelez",E,4,"milk, nuts, soybeans",563.0,37.0,16.0,47.0,45.0,3.7,8.2,0.22,0.088,False,True,True,True,False,False,Snacks,Cocoa And Its Products
Chocolate With Raspberry Pieces,Jd Gross,C,4,soybeans,69.0,4.9,3.0,4.5,3.6,1.4,1.0,0.01,0.004,False,False,False,True,False,False,Snacks,Cocoa And Its Products
Simply Fruity Muesli,Dorset Cereals,B,3,"gluten, sulphur-dioxide-and-sulphites",349.0,2.89,0.667,68.4,20.0,7.33,8.67,0.0444,0.0178,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Bran Flakes,Kelloggs,B,4,gluten,358.0,2.2,0.4,65.0,14.0,17.0,11.0,0.66,0.264,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Unknown Product,Unknown,UNKNOWN,0,unknown,289.0,6.7,1.4,18.8,4.2,2.4,6.2,0.32,0.128,False,False,False,False,False,False,Mensouria,Unknown
Supreme,Be Biscuit,E,0,unknown,486.0,28.0,13.3,53.5,30.7,1.8,5.9,0.21,0.084,False,False,False,False,False,False,Snacks,Biscuits And Cakes
Moelleux Chocolat,"Belvita, Lu, Mondelez International",C,4,"gluten, milk, soybeans",399.0,14.0,2.9,61.0,18.0,6.9,6.1,0.44,0.176,True,True,False,True,False,False,Snacks,Sweet Snacks
Les Galettes Boulgour Quinoa Tomate Paprika,Organic Cereal,B,4,"avoine, gluten",189.0,5.4,0.6,25.0,3.8,5.0,7.5,0.95,0.38,True,False,False,False,False,False,Plant Based Foods And Beverages,Meat Alternatives
Nescaf Special Filter The Original G Bottle,"Nestl, Nescafe, Special Filters",UNKNOWN,1,unknown,118.0,0.2,0.1,3.1,3.1,34.1,7.0,0.25,0.1,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Fitness Nature Whole Grains,Nestle,A,4,"gluten, milk",368.0,1.5,0.6,74.7,8.3,8.5,9.8,0.56,0.224,True,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
Crunchy Peanut Butter,Whole Earth,C,3,"nuts, peanuts",595.0,46.0,8.6,12.0,5.9,8.4,29.0,0.69,0.276,False,False,True,False,False,False,Plant Based Foods And Beverages,Legumes And Their Products
Crunchy Organic Peanut Butter,Whole Earth,C,3,"nuts, peanuts",595.0,46.0,8.8,14.19999981,5.3,7.3,27.29999924,1.0,0.4,False,False,True,False,False,False,Plant Based Foods And Beverages,Legumes And Their Products
Ferrero Rocher,Ferrero,E,4,"gluten, milk, nuts, soybeans",603.0,42.7,14.1,44.4,39.9,4.1,8.2,0.15,0.06,True,True,True,True,False,False,Snacks,Cocoa And Its Products
Barista Edition Oat Drink,Oatly,D,3,gluten,61.0,3.0,0.3,7.1,3.4,0.8,1.1,0.1,0.04,True,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
