product_name,brands,nutriscore_grade,nova_group,allergens,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,category,subcategory
Zero Sugar Fiber Cookies,Gullon,E,4,"gluten, soybeans",146.0,0.0,0.0,5.5,0.0,3.2,2.1,220.0,88.0,True,False,False,True,False,False,Snacks,Biscuits And Cakes
Excellence Cacao Rich Dark,Lindt,E,3,nuts,578.3938815,46.0,27.0,22.0,15.0,0.0,12.5,0.01,0.004,False,False,False,False,False,False,Snacks,Cocoa And Its Products
Ain Atlas,Ain Atlas,A,0,unknown,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.12,0.048,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Mayonnaise Recette Originale,Star,D,4,"eggs, mustard, soybeans, sulphites, sulphur-dioxide-and-sulphites",592.0,65.21,9.8,0.22,0.05,0.7,1.12,1.75,0.7,False,False,False,True,True,False,Condiments,Sauces
Sourdough White Ciabattin Bread,Jasons,B,0,gluten,230.0,0.8,0.1,44.1,2.4,2.9,10.1,0.905,0.362,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Roasted Almond Without Sugar,"Danone,Alpro",B,4,nuts,15.0,1.1,0.1,0.0,0.0,0.3,0.5,0.15,0.06,False,False,True,False,False,False,Beverages And Beverages Preparations,Beverages
Ain Saiss,Ain Saiss,A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.002,0.0008,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Chocolate Cocoa Mass,Jd Gross,D,4,soybeans,584.0,48.0,28.0,36.0,12.0,16.0,12.0,0.0,0.0,False,False,False,True,False,False,Snacks,Cocoa And Its Products
Cristaline Eau De Source L,Cristaline,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00476,0.001904,False,False,False,False,False,False,Beverages And Beverages Preparations,Snacks
Nutella,"Ferrero,Nutella",E,4,"gluten, milk, nuts, soybeans",539.0,30.9,10.6,57.5,56.3,0.0,6.3,0.107,0.0428,False,True,True,True,False,False,Other,Unknown
Proper Sourdough,Jasons Sourdough,B,3,gluten,237.0,0.7,0.1,46.4,2.1,3.0,9.7,0.7875,0.315,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Walnusskerne Naturbelassen,Alesto,A,1,nuts,673.0,69.0,6.67,3.67,3.0,6.67,15.7,0.0333,0.0133,False,False,True,False,False,False,Plant Based Foods And Beverages,Nuts And Their Products
Sourdough Grains Seeds,Jasons,A,3,gluten,236.0,2.69,0.414,39.9,1.45,4.76,10.6,0.812,0.325,True,False,False,False,False,False,Plant Based Foods And Beverages,Cereals And Potatoes
Cheddar,La Hollandaise,D,4,milk,270.0,21.0,12.0,6.0,6.0,0.0,9.0,1.5,0.6,False,True,False,False,False,False,Dairies,Fermented Milk Products
Almonds Natural,Alesto,A,1,nuts,621.0,53.3,4.3,4.8,4.8,12.1,24.5,0.01,0.004,False,False,True,False,False,False,Plant Based Foods And Beverages,Nuts And Their Products
Iodized Table Salt,Star,NOT-APPLICABLE,2,unknown,144.0,0.0,0.0,0.0,0.0,0.0,1.4,99.0,39.6,False,False,False,False,False,False,Condiments,Table Salts
Ketchup Star G,Star,C,0,unknown,108.0,0.08,0.0,25.7,22.36,0.0,1.12,0.00555,0.00222,False,False,False,False,False,False,Condiments,Tomato Sauces
Cosumar Sugar Ingot For Tea Kg,Cosumar,E,0,unknown,400.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,Sweeteners,Sugars
Cashewkerne,Alesto,B,0,nuts,600.0,47.6,9.0,19.8,6.5,5.2,20.5,0.02,0.008,False,False,True,False,False,False,Plant Based Foods And Beverages,Nuts And Their Products
Henrys,Henrys,E,4,gluten,440.0,10.8235,5.2941,76.4706,24.2353,2.3529,7.6471,0.882353,0.3529412,True,False,False,False,False,False,Snacks,Biscuits And Cakes
Assil Vanille,Danone,C,0,milk,95.5,2.7,1.8,14.0,8.0,2.0,3.4,0.0,0.0,False,False,False,False,False,False,Dairies,Fermented Milk Products
Salim,Salim,UNKNOWN,1,gluten,58.0,3.0,2.0,4.8,3.6,0.0,3.0,0.14,0.056,False,False,False,False,False,False,Dairies,Milks
Coca Cola,Coca Cola,E,4,unknown,42.0,0.0,0.0,10.6,10.6,0.2,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Carbonated Drinks
Jaouda Cremy,Jaouda,A,4,milk,109.0,3.0,0.4,16.9,2.0,0.0,3.6,0.0,0.0,False,True,False,False,False,False,Dairies,Fermented Milk Products
Ciel,The Coca Cola Company,B,1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Ciel Cl,Ciel,A,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.052,False,False,False,False,False,False,Beverages,Spring Waters
Milk Chocolate Bar,Maruja,D,4,"milk, nuts, soybeans",533.0,32.0,26.7,53.3,0.0,0.0,5.33,0.28,0.112,False,True,True,True,False,False,Snacks,Cocoa And Its Products
Ain Saiss Cl,Sais Eye,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Cream Cheese,Original,A,3,milk,257.0,18.0,0.0,3.1,0.0,0.0,10.0,0.0,0.0,False,True,False,False,False,False,Dairies,Fermented Milk Products
Spreadable Slightly Salted,Lurpak,E,2,milk,679.0,75.0,35.0,0.6,0.6,0.0,0.5,0.885,0.354,False,True,False,False,False,False,Dairies,Spreads
Bahia,Bahia,A,1,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.0055,0.0022,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Oulmes Eau Gazeuse,Oulmes,A,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784,0.0314,False,False,False,False,False,False,Beverages And Beverages Preparations,Carbonated Drinks
Organic Dark Chocolate Bar,Green Blacks,E,3,"milk, nuts",580.0,42.0,25.0,36.0,29.0,10.0,9.1,0.01,0.004,False,False,False,False,False,False,Snacks,Cocoa And Its Products
Jibal,Jibal,D,0,milk,138.0,11.5,7.7,6.14,3.5,0.0,2.5,0.8,0.32,False,True,False,False,False,False,Dairies,Fermented Milk Products
King Cookies,Excelo,E,0,unknown,483.0,24.0,12.0,61.5,32.0,4.1,5.2,0.27,0.108,False,False,False,False,False,False,Snacks,Biscuits And Cakes
Nescafe Classic,Nescaf,UNKNOWN,0,nuts,267.0,0.5,0.2,34.0,3.7,17.0,8.0,0.025,0.01,False,False,False,False,False,False,Beverages And Beverages Preparations,Beverages
Jamila Riby,Danone,E,4,milk,72.0,1.7,1.1,12.4,9.0,0.0,1.9,0.0,0.0,False,True,False,False,False,False,Beverages And Beverages Preparations,Dairies
Eau,An Lfrane,A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3e-06,1.2e-06,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Aquafina Cl,Aquafina,B,1,unknown,1.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.04,False,False,False,False,False,False,Beverages,Table Waters
Cooked Tomato Sauce,Solis,C,4,unknown,68.0,0.4,0.0,7.6,4.4,2.0,1.6,1.0,0.4,False,False,False,False,False,False,Condiments,Tomato Sauces
