AllergenTypeID,allergens
157,"avoine, gluten, milk"
158,"avoine, gluten, soybeans"
159,"celery, mustard, sulphites, sulphur-dioxide-and-sulphites"
160,"sesame-seeds, soybeans"
161,"milk, sulphites"
162,"avoine, gluten, milk, nuts"
163,"eggs, gluten, milk, sesame-seeds"
164,fenilalanina
165,"gluten, milk, nuts, peanuts, sesame-seeds, soybeans"
166,pork
167,"fish, gluten, milk"
168,"eggs, gluten, mycoprotein"
169,"eggs, milk, nuts, sulphites, sulphur-dioxide-and-sulphites"
170,chicken
171,"celery, eggs, gluten, soybeans"
172,"celery, eggs, gluten, milk"
173,"gluten, lupin, milk, nuts, sesame-seeds, soybeans"
174,"eggs, gluten, milk, soybeans, sulphites"
175,"milk, mustard"
176,"crustaceans, fish, gluten, milk, molluscs"
177,"nuts, sulphites"
178,"eggs, fish, gluten, milk, soybeans, sulphites"
179,"gluten, milk, sulphites, sulphur-dioxide-and-sulphites"
180,"arachides, nuts, peanuts"
181,"gluten, sulphites"
182,"celery, milk"
183,"buzagluten, buzaliszt, gluten"
184,"apple, gluten, sulphites"
185,"gluten, yeast"
186,"gluten, milk, sulphur-dioxide-and-sulphites"
187,"eggs, fish, gluten, mustard, soybeans"
188,"apple, orange"
189,"fish, gluten, milk, sesame-seeds, soybeans"
190,"gluten, nuts, sesame-seeds, soybeans"
191,"eggs, mustard, sesame-seeds"
192,"eggs, gluten, milk, nuts, sesame-seeds, soybeans"
193,"avoine, gluten, lupin"
194,"ble, eggs, gluten, lait, milk, oeuf, soybeans"
195,"eggs, fish, gluten, milk, mustard, soybeans, sulphites, sulphur-dioxide-and-sulphites"
196,"eggs, soybeans"
197,"apple, banana, milk"
198,"fish, sulphites, sulphur-dioxide-and-sulphites"
199,"avoine, gluten, milk, nuts, sesame-seeds"
200,"celery, eggs, gluten, mustard, nuts, soybeans"
201,"celery, eggs, fish, gluten, milk, soybeans"
202,"banana, gluten, nuts, soybeans, sulphur-dioxide-and-sulphites"
203,"banana, gluten, nuts"
204,"celery, eggs, milk, soybeans"
205,"eggs, fish, milk, mustard"
206,"apple, banana, gluten, nuts"
207,"eggs, gluten, lecithines, milk, soybeans"
208,"avoine, gluten, lupin, soybeans"
209,"milk, sulphur-dioxide-and-sulphites"
210,"celery, soybeans"
211,"fish, milk"
212,"avoine, ble-d-epeautre, gluten, sesame-seeds"
213,"eggs, gluten, milk, mustard, nuts, soybeans"
