FoodID,food_name
164,archway home style cookies oatmeal raisin
165,archway home style cookies old fashioned molasses
166,archway home style cookies old fashioned windmill cookies
167,archway home style cookies peanut butter
168,archway home style cookies raspberry filled
169,archway home style cookies reduced fat ginger snaps
170,archway home style cookies strawberry filled
171,archway home style cookies sugar free oatmeal
172,arrowhead cooked boiled drained with salt
173,arrowhead cooked boiled drained without salt
174,arrowhead raw
175,arrowroot flour
176,arrowroot raw
177,artichokes globe or french cooked boiled drained with salt
178,artichokes globe or french cooked boiled drained without salt
179,artichokes globe or french frozen cooked boiled drained with salt
180,artichokes globe or french frozen cooked boiled drained without salt
181,artichokes globe or french frozen unprepared
182,artichokes globe or french raw
183,artificial blueberry muffin mix dry
184,arugula baby raw
185,arugula raw
186,ascidians tunughnak alaska native
187,asparagus canned drained solids
188,asparagus canned no salt added solids and liquids
189,asparagus canned regular pack solids and liquids
190,asparagus cooked boiled drained
191,asparagus cooked boiled drained with salt
192,asparagus frozen cooked boiled drained with salt
193,asparagus frozen cooked boiled drained without salt
194,asparagus frozen unprepared
195,asparagus green raw
196,asparagus raw
197,avocado hass peeled raw
198,avocados raw all commercial varieties
199,avocados raw california
200,avocados raw florida
201,babyfood apple yogurt dessert strained
202,babyfood apple banana juice
203,babyfood apples with ham strained
204,babyfood apples dices toddler
205,babyfood baby mum mum rice biscuits
206,babyfood baked product finger snacks cereal fortified
207,babyfood banana apple dessert strained
208,babyfood banana juice with low fat yogurt
209,babyfood banana no tapioca strained
210,babyfood banana with mixed berries strained
211,babyfood beverage gerber graduates fruit splashers
212,babyfood carrots and beef strained
213,babyfood carrots toddler
214,babyfood cereal barley dry fortified
215,babyfood cereal barley prepared with whole milk
216,babyfood cereal brown rice dry instant
217,babyfood cereal egg yolks and bacon junior
218,babyfood cereal high protein prepared with whole milk
219,babyfood cereal high protein with apple and orange dry
220,babyfood cereal high protein with apple and orange prepared with whole milk
221,babyfood cereal mixed dry fortified
222,babyfood cereal mixed prepared with whole milk
223,babyfood cereal mixed with applesauce and bananas junior fortified
224,babyfood cereal mixed with applesauce and bananas strained
225,babyfood cereal mixed with bananas dry
226,babyfood cereal mixed with bananas prepared with whole milk
227,babyfood cereal mixed with honey prepared with whole milk
228,babyfood cereal oatmeal dry fortified
229,babyfood cereal oatmeal dry gerber single grain fortified
230,babyfood cereal oatmeal prepared with whole milk
231,babyfood cereal oatmeal with applesauce and bananas junior fortified
232,babyfood cereal oatmeal with applesauce and bananas strained
233,babyfood cereal oatmeal with bananas dry
234,babyfood cereal oatmeal with bananas prepared with whole milk
235,babyfood cereal oatmeal with honey dry
236,babyfood cereal oatmeal with honey prepared with whole milk
237,babyfood cereal rice with pears and apple dry instant fortified
238,babyfood cereal rice dry fortified
239,babyfood cereal rice prepared with whole milk
240,babyfood cereal rice with applesauce and bananas strained
241,babyfood cereal rice with bananas dry
242,babyfood cereal rice with bananas prepared with whole milk
243,babyfood cereal rice with honey prepared with whole milk
244,babyfood cereal whole wheat with apples dry fortified
245,babyfood cereal with egg yolks junior
246,babyfood cereal with egg yolks strained
247,babyfood cereal with eggs strained
248,babyfood cherry cobbler junior
249,babyfood cookie baby fruit
250,babyfood cookies
251,babyfood cookies arrowroot
252,babyfood corn and sweet potatoes strained
253,babyfood crackers vegetable
254,babyfood dessert banana pudding strained
255,babyfood dessert banana yogurt strained
256,babyfood dessert blueberry yogurt strained
257,babyfood dessert cherry vanilla pudding junior
258,babyfood dessert cherry vanilla pudding strained
259,babyfood dessert custard pudding vanilla junior
260,babyfood dessert custard pudding vanilla strained
261,babyfood dessert dutch apple junior
262,babyfood dessert dutch apple strained
263,babyfood dessert fruit dessert without ascorbic acid junior
264,babyfood dessert fruit dessert without ascorbic acid strained
265,babyfood dessert fruit pudding orange strained
266,babyfood dessert fruit pudding pineapple strained
267,babyfood dessert peach cobbler junior
268,babyfood dessert peach cobbler strained
269,babyfood dessert peach melba junior
270,babyfood dessert peach melba strained
271,babyfood dessert peach yogurt
272,babyfood dessert tropical fruit junior
273,babyfood dinner apples and chicken strained
274,babyfood dinner beef and rice toddler
275,babyfood dinner beef lasagna toddler
276,babyfood dinner beef noodle junior
277,babyfood dinner beef noodle strained
278,babyfood dinner beef with vegetables
279,babyfood dinner broccoli and chicken junior
280,babyfood dinner chicken and rice
281,babyfood dinner chicken noodle junior
282,babyfood dinner chicken noodle strained
283,babyfood dinner chicken soup strained
284,babyfood dinner chicken stew toddler
285,babyfood dinner macaroni and cheese junior
286,babyfood dinner macaroni and cheese strained
287,babyfood dinner macaroni and tomato and beef junior
288,babyfood dinner macaroni and tomato and beef strained
289,babyfood dinner macaroni beef and tomato sauce toddler
290,babyfood dinner mixed vegetable junior
291,babyfood dinner mixed vegetable strained
292,babyfood dinner pasta with vegetables
293,babyfood dinner spaghetti and tomato and meat junior
294,babyfood dinner spaghetti and tomato and meat toddler
295,babyfood dinner sweet potatoes and chicken strained
296,babyfood dinner turkey and rice junior
297,babyfood dinner turkey and rice strained
298,babyfood dinner turkey rice and vegetables toddler
299,babyfood dinner vegetables and beef junior
300,babyfood dinner vegetables and beef strained
301,babyfood dinner vegetables and chicken junior
302,babyfood dinner vegetables and dumplings and beef junior
303,babyfood dinner vegetables and dumplings and beef strained
304,babyfood dinner vegetables and lamb junior
305,babyfood dinner vegetables and noodles and turkey junior
306,babyfood dinner vegetables and noodles and turkey strained
307,babyfood dinner vegetables and turkey junior
308,babyfood dinner vegetables and turkey strained
309,babyfood dinner vegetables chicken strained
310,babyfood dinner vegetables noodles and chicken junior
311,babyfood dinner vegetables noodles and chicken strained
312,babyfood finger snacks gerber graduates puffs apple and cinnamon
313,babyfood fortified cereal bar fruit filling
314,babyfood fruit and vegetable apple and sweet potato
315,babyfood fruit dessert mango with tapioca
316,babyfood fruit supreme dessert
317,babyfood fruit apple and blueberry junior
318,babyfood fruit apple and blueberry strained
319,babyfood fruit apple and raspberry junior
320,babyfood fruit apple and raspberry strained
321,babyfood fruit applesauce and apricots junior
322,babyfood fruit applesauce and apricots strained
323,babyfood fruit applesauce and cherries junior
324,babyfood fruit applesauce and cherries strained
325,babyfood fruit applesauce and pineapple junior
326,babyfood fruit applesauce and pineapple strained
327,babyfood fruit applesauce with banana junior
328,babyfood fruit applesauce junior
329,babyfood fruit applesauce strained
330,babyfood fruit apricot with tapioca junior
331,babyfood fruit apricot with tapioca strained
332,babyfood fruit banana and strawberry junior
333,babyfood fruit bananas and pineapple with tapioca junior
334,babyfood fruit bananas and pineapple with tapioca strained
335,babyfood fruit bananas with apples and pears strained
336,babyfood fruit bananas with tapioca junior
337,babyfood fruit bananas with tapioca strained
338,babyfood fruit guava and papaya with tapioca strained
339,babyfood fruit papaya and applesauce with tapioca strained
340,babyfood fruit peaches junior
341,babyfood fruit peaches strained
342,babyfood fruit pears and pineapple junior
343,babyfood fruit pears and pineapple strained
344,babyfood fruit pears junior
345,babyfood fruit pears strained
346,babyfood fruit plums with tapioca without ascorbic acid junior
347,babyfood fruit plums with tapioca without ascorbic acid strained
348,babyfood fruit prunes with tapioca without ascorbic acid junior
349,babyfood fruit prunes with tapioca without ascorbic acid strained
350,babyfood fruit tutti frutti junior
351,babyfood fruit tutti frutti strained
352,babyfood gerber 2nd foods apple carrot and squash organic
353,babyfood gerber 3rd foods apple mango and kiwi
